date,p_structural,p_shock,tactical_level,risk_regime,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2026-01-06,0.0068349749777491,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0069867799955436,0.0058327338620384,0.7884637819234118
2026-01-05,0.0069385864811506,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0038530000302355,-0.0001890017989777,0.0057141285595284,0.7893549085827996
2026-01-02,0.0086840927159022,0.0033275926278912,1,NORMAL,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0104435556094648,-0.0103432004080622,0.0055691378171526,0.7901192143897487
2025-12-31,0.0095908509829598,0.0033275926278912,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0122541526591464,-0.0122541526591464,0.0055728477342818,0.7912256223142132
2025-12-30,0.0069527787510801,0.0031959252851737,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0048813625732969,-0.0013809119377419,0.0053354410132601,0.7915967958634538
2025-12-29,0.0069236303443824,0.0031959252851737,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0036646908644238,0.0044097928255641,0.0053256409820603,0.791737191647309
2025-12-26,0.0068308720335929,0.0031959252851737,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0001014040437492,0.0142816825395373,0.0053725088573727,0.7916541118049497
2025-12-24,0.0068516794874363,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0313077115037288,0.0054736421016823,0.7960975515073356
2025-12-23,0.006813989927453,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0163843706629773,0.005608166614001,0.7980056710055347
2025-12-22,0.0068999430470386,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0033610485043027,0.0089956845282122,0.0058635042991932,0.7991779551519835
2025-12-19,0.0070785760984767,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0095315423729807,0.0012337202132666,0.0065069284885163,0.8004976230227048
2025-12-18,0.0132911453007148,0.0033275926278912,1,NORMAL,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0184279861226953,-0.0184279861226953,0.0065626835802335,0.8006372703529125
2025-12-17,0.0181011650973711,0.0033275926278912,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.025784559979691,-0.0235176271136341,0.0074366415292502,0.8024823364441869
2025-12-16,0.0080268937410044,0.0033275926278912,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0149454250426404,-0.0061049711972336,0.0069328646121396,0.8043797255238303
2025-12-15,0.0073448887658425,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0122465667811976,-0.0042420950974673,0.0072214829840824,0.8059989516864986
2025-12-12,0.0073250669810914,0.0031202814712266,2,NORMAL,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0107519976294389,-0.005731415951404,0.0075747979394496,0.8074974262871318
2025-12-11,0.0067509138909628,0.0031202814712266,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.006984251355768,0.0070823274940133,0.808930538257088
2025-12-10,0.0067428508294474,0.0032004465092154,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0053810284821429,0.0081228483248578,0.8107409177882138
2025-12-09,0.0069230584060916,0.0032004465092154,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0063283366656226,0.002215517605308,0.0079875111242804,0.8123028941915368
2025-12-08,0.0068983268923561,0.0032004465092154,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0054699356141325,0.0049392105811842,0.0079999835668974,0.8133101505871997
2025-12-05,0.0067978453977965,0.0032004465092154,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0024731461355878,0.0033655586861458,0.0086634327912498,0.8143929131592594
2025-12-04,0.0068587619482766,0.0032004465092154,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.004364317909573,0.0069297056516535,0.0086615231473982,0.8157566749736497
2025-12-03,0.0068747298395254,0.0032004465092154,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0050917190703335,0.0061940531937612,0.0090556452570364,0.8169389292756969
2025-12-02,0.0069842846295016,0.0032004465092154,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0085249670563327,0.0096441951641361,0.0090556917669784,0.8177838816795611
2025-12-01,0.0070851278490397,0.0032004465092154,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0103579859216528,0.0172566538559557,0.0094578573887178,0.8183186812124292
2025-11-28,0.0069534471201923,0.0032004465092154,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.005819120231094,0.0369633808594229,0.0094103145897751,0.819131975715865
2025-11-26,0.007213184182371,0.0032004465092154,0,NORMAL,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0112162979181525,0.0257307812938096,0.0096775570302528,0.8205754376349305
