date,p_lead5,p_lead10,srs,srs_accel,sentiment_signal,vol20,vol60,hurst_100,drawdown_252,ret5d,ret20d,external_event,is_trading_day,lead5_slope_5d,trend_score,trend_score_slope_5d,mode,active_track,switch_reason,action,reference_prob,execution_signal,warning_level,signal_stage,prewarning_type,warning_source,warning_sources,portfolio_state,cooldown_left,normal_streak,is_new_warning,short_early_streak,short_streak,watch_streak,short_trend_streak,dd_expand_streak
2025-02-21,0.1293103448275862,0.2043010752688172,1.1401884196955738,1.0295228262894933,1,0.007391851959501552,0.008078582518578287,0.7613316168169368,0.021193195110141505,-0.01600769098400856,-0.013207739195828627,0,1,0.005172413793103459,0.3890662465436056,0.07781324930872112,NORMAL,LEAD5,high_hurst|shortterm_watch_guard,SHORT_TERM_WATCH,0.1293103448275862,NONE,WATCH,WATCH,WATCH_NOISE,shortterm_watch_guard,high_hurst|sentiment_factor|shortterm_watch_guard,NORMAL,0,0,0,1,0,1,0.0,0.0
2025-02-20,0.1034482758620689,0.2043010752688172,-0.09610745117366462,0.09988222832682953,0,0.006333613542252545,0.007796987615089874,0.7644717925879361,0.004160316979602174,0.0010660464705516404,0.0010331986724987363,0,1,0.0,0.156990945111273,0.015190260058124253,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.1034482758620689,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2025-02-19,0.0992907801418439,0.1602564102564102,0.006635574965594887,0.2260969590362542,0,0.006360545925201685,0.007774170138750263,0.7672714047669972,0.0,0.015861179396258862,0.010701700274800219,0,1,0.0,0.02715798795353696,-0.0009655094381313886,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0992907801418439,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2025-02-18,0.0992907801418439,0.1602564102564102,-0.24338467857867307,0.022342910053439524,0,0.006450596838611068,0.007783165095559756,0.7701559775083086,0.0,0.010209553073822653,0.013995631645075779,0,1,0.0,0.045897753360246804,0.00917955067204936,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0992907801418439,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2025-02-14,0.0992907801418439,0.1602564102564102,-0.39308794483729914,-0.1452537946445798,0,0.006707946595820033,0.007810611200344161,0.777726905376735,8.213331928996759e-05,0.014864057840816569,0.020281567475916473,0,1,-0.006003912937148456,0.006649355409842364,-0.028870117018338803,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0992907801418439,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2025-02-13,0.1034482758620689,0.2043010752688172,-0.2134659740244904,-0.0343406627905844,0,0.006996032054310929,0.007817578112467923,0.7818369556213499,3.281281806410963e-05,0.005624095789184658,0.03057608565524883,0,1,0.0008314991440449976,0.0,-0.004661418758251632,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.1034482758620689,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2025-02-12,0.1034482758620689,0.2043010752688172,-0.22469544784167161,-0.024818222019708708,0,0.00669875014464684,0.007733022582052189,0.7856744689964774,0.010479745680405217,-0.0014233536284121717,0.017848025825832003,0,1,0.0008314991440449976,0.08103964482065175,0.012709850735999012,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.1034482758620689,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2025-02-11,0.0992907801418439,0.1602564102564102,-0.1730517993435482,0.08558128527868797,0,0.007648046582632913,0.007718058131102166,0.7887321104559446,0.007281609934587041,0.005866009928040983,0.03971229184227609,0,1,-0.0008314991440449976,0.0319855351441939,0.0010402978435295868,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0992907801418439,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2025-02-10,0.0992907801418439,0.1602564102564102,-0.2348695849165881,0.017209319521827915,0,0.007644133191062525,0.00772872980821839,0.7916674809452875,0.008036102201800843,0.011843984848228128,0.04035153516227896,0,1,-0.006003912937148456,0.0,-0.031560621813289585,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.0992907801418439,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2025-02-07,0.1293103448275862,0.2043010752688172,-0.04954375004323258,0.11315130385290117,0,0.007560895703694705,0.007699642284498989,0.7943840795641072,0.014727283959494408,-0.001744653810426322,0.03493611626280613,0,1,0.005172413793103459,0.1509999405015364,0.00126977810815323,NORMAL,LEAD5,high_hurst,HOLD_STRATEGIC,0.1293103448275862,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
