date,vol20,hurst_100,drawdown_252,ret5d,ret20d,external_event,breadth_real_stress,market_price,credit_real,breadth_source_flag,dd_delta_1d,ret5d_delta_1d,ret5d_median_20,low_vol_flag,high_hurst_flag,drawdown_gt5_flag,shock_like_flag,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,breadth_damage_score,structural_pressure_score,price_below_200dma_flag,credit_chg_20d
2025-02-21,0.007391851959501552,0.7613316168169368,0.021193195110141505,-0.01600769098400856,-0.013207739195828627,0,0.1449955018528013,135.28984546661377,0.0355512453579959,1,0.01703287813053933,-0.0170737374545602,0.0022766349390187512,1,1,0,0,0.47497750926400645,-0.6451272093337324,0.591649173872005,0.5679430893647853,0.5847106117363935,0.5022793238923514,0,0.0355512453579959
2025-02-20,0.006333613542252545,0.7644717925879361,0.004160316979602174,0.0010660464705516404,0.0010331986724987363,0,0.0960756137817079,136.0934705734253,0.0,1,0.004160316979602174,-0.014795132925707222,0.002716516652878198,1,1,0,0,0.23037806890853946,0.05487423842029092,0.30314901771042474,0.37584454693069014,0.257577442049853,0.3333333333333333,0,0.0
2025-02-19,0.006360545925201685,0.7672714047669972,0.0,0.015861179396258862,0.010701700274800219,0,0.0759012284813296,135.66535663604736,0.0034906086006697,1,0.0,0.0056516263224362095,0.0034999950283182146,1,1,0,0,0.12950614240664798,0.35641305286221103,0.022949221871837316,0.20609581597566448,0.08963779506353745,0.3333333333333333,0,0.0034906086006697
2025-02-18,0.006450596838611068,0.7701559775083086,0.0,0.010209553073822653,0.013995631645075779,0,0.1082974580054312,134.92251682281494,0.0,1,-8.213331928996759e-05,-0.004654504766993917,0.0034999950283182146,1,1,0,0,0.29148729002715595,-0.10642235416940579,0.1607675341374631,0.2929973808782167,0.25015104171266844,0.3333333333333333,0,0.0
2025-02-14,0.006707946595820033,0.777726905376735,8.213331928996759e-05,0.014864057840816569,0.020281567475916473,0,0.1071141604826859,133.5861301422119,0.0,1,4.932050122585796e-05,0.009239962051631911,0.0034999950283182146,1,1,0,0,0.28557080241342947,-0.09258354370745789,0.24048065104907929,0.3404733717389078,0.2775861112394079,0.3333333333333333,0,0.0
2025-02-13,0.006996032054310929,0.7818369556213499,3.281281806410963e-05,0.005624095789184658,0.03057608565524883,0,0.0974993800099336,134.90882301330566,0.0,1,-0.010446932862341107,0.007047449417596829,0.0033212289224187064,1,1,0,0,0.237496900049668,0.034174182864988065,0.16190103195105102,0.28336238852247125,0.2052371253672584,0.3333333333333333,0,0.0
2025-02-12,0.00669875014464684,0.7856744689964774,0.010479745680405217,-0.0014233536284121717,0.017848025825832003,0,0.0920034801520249,133.5637674331665,0.0,1,0.003198135745818176,-0.0072893635564531545,0.0033212289224187064,1,1,0,0,0.2100174007601245,0.11267682508599908,0.14132716760763092,0.25862323945423155,0.17068428006258027,0.33533227366835505,0,0.0
2025-02-11,0.007648046582632913,0.7887321104559446,0.007281609934587041,0.005866009928040983,0.03971229184227609,0,0.0864276723392715,132.78664875030518,0.0001184413123296,1,-0.0007544922672138021,-0.005977974920187146,0.0033212289224187064,1,1,0,0,0.18213836169635747,0.2010322118346354,0.06388539243050023,0.21774068600671137,0.11594111003339228,0.3333333333333333,0,-0.0045539335507407
2025-02-10,0.007644133191062525,0.7916674809452875,0.008036102201800843,0.011843984848228128,0.04035153516227896,0,0.1074177597897347,133.95828914642334,0.0,1,-0.006691181757693565,0.01358863865865445,0.002716516652878198,1,1,0,0,0.28708879894867345,-0.09490980754608601,0.3976297973043905,0.40999577209019133,0.3351181353245818,0.3333333333333333,0,0.0
2025-02-07,0.007560895703694705,0.7943840795641072,0.014727283959494408,-0.001744653810426322,0.03493611626280613,0,0.0822061310886369,133.17096519470215,0.0,1,0.009102012418233829,-0.0038602055139159708,0.0022766349390187512,1,1,0,0,0.1610306554431845,0.24871816391790696,0.20440655990864637,0.28731308831065855,0.16318757591562236,0.35303034983122666,0,-0.0083162425908812
2025-02-06,0.008127151056501124,0.796849741231928,0.005625271541260579,0.0021155517034896487,0.028550079545548668,0,0.0665123038544644,134.37164402008057,0.0,1,-0.0034440293330390004,-0.0018891232219382381,0.002716516652878198,1,1,0,0,0.08256151927232197,0.4818604339782898,0.0,0.1704083725686458,0.06324247296024194,0.3333333333333333,0,0.0
2025-02-05,0.00811848582812328,0.7994662203971452,0.00906930087429958,0.004004674925427887,0.02498768345575142,0,0.1059597592989206,135.29694366455078,0.0,1,-0.004001644691868367,0.008537186098628191,0.0033212289224187064,1,1,0,0,0.27979879649460293,-0.07427813153706667,0.43984350838469116,0.4551661279236781,0.3508433856042986,0.3333333333333333,0,0.0
2025-02-04,0.008092270761065612,0.8011511792579307,0.013070945566167946,-0.004532511173200304,0.022339912487986835,0,0.0664487802371359,133.2304925918579,0.0023855184994621,1,-0.006576438168599208,-0.0018630553321403731,0.0033212289224187064,1,1,0,0,0.08224390118567945,0.4700836214473787,0.0,0.17816566339320916,0.06510239114472216,0.3461289398590331,0,-0.0037895632295607004
2025-02-03,0.008434607947232463,0.8027814388845627,0.019647383734767154,-0.002669455841059931,0.004047956464994229,0,0.0905459064345191,131.94802856445312,0.0088743577767399,1,0.006642063804727316,0.007446066551001995,0.0033212289224187064,1,1,0,0,0.20272953217259546,0.13153479823517664,0.07990074724535201,0.22702686207705694,0.14167786907475596,0.3735307655615298,0,-0.0219830971659144
2025-01-31,0.008353749172616116,0.8042419268083405,0.013005319930039838,-0.010115522392061926,0.01667379690189974,0,0.0965541815965745,131.9674301147461,0.0,1,0.005280838225717788,-0.002391040687739876,0.0033212289224187064,1,1,0,0,0.23277090798287248,0.04682046663550537,0.10326626176445637,0.23735663356954065,0.1752608536134871,0.40269463739807626,0,-0.0505550967978715
2025-01-30,0.008606520669163932,0.8055418554760381,0.00772448170432205,-0.00772448170432205,0.03489335480454203,0,0.1186414296650085,132.22315216064453,0.0,1,-0.005297345908879647,-8.960359263243678e-05,0.0033212289224187064,1,1,0,0,0.34320714832504245,-0.2530297168041119,0.48916111536392193,0.45940354969345515,0.41732414434646153,0.363605352270245,0,-0.0615554736454109
2025-01-29,0.008611347654732605,0.8065946524605023,0.013021827613201697,-0.007634878111689614,0.02683923369819574,0,0.0732238605497849,130.30016994476318,0.0,1,0.004444516461603487,-0.010072596286237467,0.0033212289224187064,1,1,0,0,0.11611930274892449,0.37465514282076545,0.057269280181961736,0.1780667865587347,0.08786384237240523,0.3752007051848916,0,-0.0323207551535061
2025-01-28,0.00850897976233209,0.8068158954792165,0.00857731115159821,0.0024377181745478538,0.03146325072843603,0,0.0687506560787273,130.8120403289795,0.0,1,-0.008446059879341994,-0.0005575969566606886,0.003999080440164171,1,1,0,0,0.09375328039363647,0.4342761750632797,0.0,0.14147117461925157,0.058806113753222006,0.3333333333333333,0,-0.040749153956701
2025-01-27,0.008417833094138516,0.8062240847334421,0.017023371030940204,0.0029953151312085424,0.018955573733593578,0,0.0813220633870719,130.0880708694458,0.0,1,0.014104042964536823,-0.01439127706695964,0.0049660718920686575,1,1,0,0,0.15661031693535948,0.2596380248292201,0.12895896530437465,0.24276407819512275,0.1320833401087142,0.36259737929558417,0,-0.047847670543268
2025-01-24,0.008178213802966093,0.8052325101017447,0.0029193280664033816,0.017386592198168183,0.021781033933603533,0,0.0728291915071624,130.59781074523926,0.0,1,0.0029193280664033816,-0.013223310672318522,0.0049660718920686575,1,1,0,0,0.11414595753581197,0.3792644199280034,0.10792158047689064,0.24073604114480257,0.1157008947893763,0.3333333333333333,0,-0.0477348169619896
