date,p_structural,p_shock,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,composite_risk_score,shock_high_cut_eff,shock_risk_cut_eff,hard_gate_reason,hard_force_crisis,hard_trend_cap_flag,hard_credit_high_flag,hard_max_allocation,recovery_active,recovery_cap,recovery_days,recovery_floor,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2026-02-19,0.0082136995808412,0.1622729459879519,0,LOW,0.14287350481099054,0.0964299354214341,0.1420752179366374,0.2241134337565362,0.0327251695062735,0.2109193542428255,NEUTRAL,1.0,0.062134435823329934,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0158305797642245,0.0047117308049291,0.0072579295998115,0.780123026773385
2026-02-18,0.0092902881670544,0.0351056850173051,0,LOW,0.1483387599438776,0.0965013825067337,0.1420752179366374,0.237250864565143,0.0327251695062735,0.2112051425840237,NEUTRAL,1.0,0.018325677064642144,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0132281015344748,-0.0081941785150364,0.0073372398364574,0.7817820651073486
2026-02-17,0.008542656964482,0.0449596994672438,1,LOW,0.21269150910760418,0.1921107814105449,0.2158234563152575,-0.0612300287872372,0.0900849104674225,0.2448430682034686,NEUTRAL,1.0,0.021288621840448628,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0181742581862003,-0.0133936594761727,0.0077030197633479,0.7832468382270524
2026-02-13,0.0065116741612784,0.0451698411925842,1,LOW,0.26361538135397167,0.2782610543762669,0.273950477767622,-0.3072649571512968,0.1352948160414837,0.2810781260698811,NEUTRAL,1.0,0.02004203262223543,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0197558418198725,-0.0128435249194927,0.0089833632805926,0.7870486297356516
2026-02-12,0.0047880066462104,0.118934948868763,2,LOW,0.44950067919444614,0.5276164026227246,0.3671287867821129,-0.6891076372581687,0.5077668341638656,0.4946469584964454,BULL,0.6,0.026843661854462283,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0204459746406026,0.0053865358761016,0.0089774441450447,0.7887544391509647
2026-02-11,0.0072699028578013,0.0382876022394546,0,LOW,0.14457884232787535,0.10801444258222,0.1456475722016149,0.1905352034384849,0.0620963497289877,0.2164265179303481,BULL,0.6,0.010875658584827972,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0050755126763638,0.0084087781965938,0.0083071154413627,0.7901230472376821
2026-02-10,0.0074290621918232,0.0409644206854672,0,LOW,0.13167186958353883,0.0875687427345015,0.1323512309710824,0.241528922872805,0.0251620685330641,0.1927616714338596,NEUTRAL,1.0,0.0191664376645986,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0048454976556194,0.003756132017852,0.0083840576399045,0.7905688560042731
2026-02-09,0.0045309453357567,0.1077080579423992,0,LOW,0.3593749453291397,0.476191159087087,0.3296873878399534,-0.5460096335199288,0.4786457460977416,0.4747568078107121,NEUTRAL,1.0,0.04064293474808157,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0022142346388404,-0.0020994247909593,0.0083750521766079,0.7909331056085006
2026-02-06,0.0070284144181365,0.04915203111024,0,LOW,0.14193693766109852,0.1059458861531153,0.1500207471818129,0.1738571335535955,0.0389050255858545,0.2130720498061237,NEUTRAL,1.0,0.021771680260372725,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0070022504788981,-0.0019509164314829,0.0083067094163908,0.7911542223621589
2026-02-05,0.0162589970803184,0.0496577638195068,2,LOW,0.3683540722638041,0.308865556123869,0.2319019129674795,-0.1494914837929881,0.3127060027575721,0.3996114056096008,BEAR,1.5,0.041922848158551504,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0256941082806461,-0.0236585548815594,0.0071575018456817,0.7915337899023069
2026-02-04,0.0116120326350162,0.0393549094978317,1,LOW,0.16082467947812262,0.0978123537379099,0.1268440999649354,0.2663542066245552,0.020878744417172,0.2435265705695323,NEUTRAL,1.0,0.021322039537001625,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0133718499526279,-0.013272526955761,0.0066120108687084,0.7933003033368566
2026-02-03,0.0054184805749713,0.0404879099567118,2,LOW,0.2872072890072128,0.2662857641057147,0.256162853946659,-0.2379111326566421,0.121459997514068,0.3225942610815967,NEUTRAL,1.0,0.017692780858580476,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0085694417190556,-0.0085694417190556,0.0065621778227257,0.7933595414755772
2026-02-02,0.0031448160137651,0.0546852638312204,0,LOW,0.30928446814156046,0.4020383525493132,0.3566833166217504,-0.6119236586874834,0.1996425795946948,0.3752244650745714,NEUTRAL,1.0,0.021183972749874456,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0001150513896206,0.0038687407089956,0.0063901549914993,0.7931500915226937
2026-01-30,0.0023382250959002,0.0664721671154807,0,LOW,0.36813112948242316,0.5013374756612616,0.4282553659373949,-0.8944659079846808,0.2553097290624183,0.4097298843246659,NEUTRAL,1.0,0.024785104802753373,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0050612080413461,0.0039754368092221,0.0064620498604777,0.792878601243858
2026-01-29,0.0027989755961223,0.0618316728096359,0,LOW,0.4487529228029136,0.6275677630350729,0.4695459125196239,-1.0,0.504854757387579,0.5358703822330888,BULL,0.6,0.014076251772511233,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.002084878614202,0.0073441866266581,0.0064086748599538,0.7921138291763827
2026-01-28,0.0029610123344653,0.0645324134348558,0,LOW,0.32834778557633004,0.432848371892498,0.3608308331390215,-0.6706938717372438,0.2691880155445534,0.375796412438714,BULL,0.6,0.014706601631761183,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.000100658996106,0.0146191393918604,0.0063769358340812,0.7912673131109651
2026-01-27,0.0031017158250288,0.0406741631783042,0,LOW,0.2839130918091861,0.3606227673151624,0.327671038254142,-0.5465375756418215,0.177077474197666,0.3156279104406572,BULL,0.6,0.009751243439205113,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0264322628956108,0.006647005142507,0.7896176666849062
2026-01-26,0.003732317972806,0.0848598467757117,0,LOW,0.3969734389430443,0.5400850935371477,0.370497436240005,-0.7263151515546789,0.5103868948533372,0.5075267500930165,NEUTRAL,1.0,0.032126953053822994,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.003495587734704,0.0015470135120789,0.0066107590547184,0.78756420268255
2026-01-23,0.0073766863646924,0.0399975780961425,0,LOW,0.13299154137387337,0.0896688766088654,0.1334238773539744,0.2260056641172977,0.0259963490530912,0.199255280028396,NEUTRAL,1.0,0.018793998470699933,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.008530400058791,-0.0035132764221321,0.0065694265183224,0.785132799887448
2026-01-22,0.0046006288244978,0.0334480185790473,0,LOW,0.20467154014424502,0.2270585750903086,0.236121853912631,-0.1875558076385103,0.1058725530431574,0.2432767203733541,NEUTRAL,1.0,0.014697215238590125,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0088900295105114,-0.0047093635323224,0.0065686825577244,0.7824899725134774
2026-01-21,0.0047463500291132,0.0416676596562489,0,LOW,0.3037889978044725,0.3737230329446639,0.2995536182649669,-0.4495910465669288,0.3011438483093759,0.3528687930652054,NEUTRAL,1.0,0.017668808398610694,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0140398600430343,-0.007184600849909,0.0064494542111987,0.7801963882650923
2026-01-20,0.0136614305312551,0.0470859392700619,2,LOW,0.34351769522360714,0.2719890312350408,0.2265858789910994,-0.1564414378771039,0.251561133773754,0.3127745806110564,BEAR,1.5,0.03804001288475622,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0252890798288705,-0.0233362670418435,0.0058972928888241,0.7774000266477104
2026-01-16,0.0076730278336009,0.0355110819262194,0,LOW,0.1725683705138767,0.1550217316471124,0.1500331539340944,0.1523879966228768,0.1697402796693524,0.2606368235040667,NEUTRAL,1.0,0.017416346766017374,0.4,0.2,NONE,0,0,0,1.0,0,1.0,43,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0050348123240868,-0.0034723214578579,0.003999085658535,0.77939824657734
