date,p_structural,p_shock,early_score_raw,early_score,early_score_q20_thr,early_score_q10_thr,early_struct_level,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,ibb_risk_score,ibb_risk_weight,composite_risk_score,shock_high_cut_eff,shock_risk_cut_eff,hard_gate_reason,hard_force_crisis,hard_trend_cap_flag,hard_credit_high_flag,hard_max_allocation,recovery_active,recovery_cap,recovery_days,recovery_floor,base_allocation,shock_modifier,tactical_multiplier,tactical_gate_on,early_struct_multiplier,final_allocation,allocation_action,guardrail_applied,guardrail_cap,guardrail_reasons,drawdown_252,ret5d,vol20,hurst_100
2026-02-13,0.006189573788956221,0.035484275042737594,-0.019349366670320278,0.4951628092510196,0.6587435924721405,0.8210669468659731,0,1,LOW,0.2636153813539717,0.2782610543762669,0.273950477767622,-0.30726495715129687,0.13529481604148377,0.28107812606988114,NEUTRAL,1.0,0.0,0.05,0.0164427192277797,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,0.9,1,1.0,0.9,LIGHT_REDUCE,0,,,0.019755841819872555,-0.0128435249194927,0.008983363280592693,0.7870486297356516
2026-02-12,0.004253490461918751,0.12734733187051248,-0.27070129272447574,0.432734936800504,0.6587601912749684,0.8210676479836121,0,2,LOW,0.44950067919444614,0.5276164026227246,0.36712878678211297,-0.6891076372581687,0.5077668341638656,0.49464695849644547,BULL,0.6,0.0,0.05,0.028401800972955932,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,0.8,1,1.0,0.8,LIGHT_REDUCE,0,,,0.020445974640602604,0.005386535876101606,0.008977444145044765,0.7887544391509647
2026-02-11,0.004871822834706095,0.02743205814399209,-0.3588547150819485,0.4112368353689278,0.6587767900777962,0.821068349101251,0,0,LOW,0.14457884232787535,0.10801444258222002,0.14564757220161498,0.1905352034384849,0.06209634972898777,0.21642651793034812,BULL,0.6,0.0,0.05,0.007660743115773715,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.005075512676363858,0.008408778196593802,0.008307115441362731,0.7901230472376821
2026-02-10,0.004896551630800415,0.02743205814399209,-0.2860613361290469,0.42896838945727,0.6589710498717792,0.8210958002119387,0,0,LOW,0.13167186958353885,0.08756874273450155,0.13235123097108245,0.24152892287280509,0.025162068533064127,0.1927616714338596,NEUTRAL,1.0,0.0,0.05,0.012783978910417501,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1,1.0,1.0,FULL_RISK_ON,0,,,0.0048454976556194795,0.0037561320178520763,0.008384057639904564,0.7905688560042731
2026-02-09,0.003463471365521553,0.07967321593074463,-0.24306883863210943,0.4395302228488165,0.6591653096657616,0.8211232513226268,0,0,LOW,0.3593749453291397,0.476191159087087,0.32968738783995344,-0.5460096335199288,0.4786457460977416,0.47475680781071217,NEUTRAL,1.0,0.0,0.05,0.030136881963349627,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1,1.0,1.0,FULL_RISK_ON,0,,,0.0022142346388404066,-0.00209942479095937,0.008375052176607962,0.7909331056085006
2026-02-06,0.004738196806892977,0.030750624253766966,-0.22109285285640856,0.4449508472585036,0.6593595694597445,0.8211507024333148,0,0,LOW,0.14193693766109855,0.10594588615311538,0.15002074718181296,0.17385713355359558,0.03890502558585451,0.2130720498061237,NEUTRAL,1.0,0.0,0.05,0.013842546413298873,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1,1.0,1.0,FULL_RISK_ON,0,,,0.007002250478898131,-0.0019509164314829297,0.008306709416390888,0.7911542223621589
2026-02-05,0.018146851299017597,0.03768388234284837,-0.032856430467329,0.4917866312616523,0.6595538292537275,0.8211781535440025,0,2,LOW,0.36835407226380423,0.308865556123869,0.2319019129674795,-0.14949148379298813,0.3127060027575721,0.39961140560960084,BEAR,1.5,0.0,0.05,0.037477218246537554,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,0.8,1,1.0,0.8,LIGHT_REDUCE,0,,,0.02569410828064611,-0.023658554881559435,0.007157501845681798,0.7915337899023069
2026-02-04,0.008942830838214285,0.029521612104900893,-0.38223717948965463,0.40558743009482373,0.6597480890477104,0.8212056046546905,0,1,LOW,0.16082467947812293,0.09781235373790995,0.12684409996493548,0.2663542066245552,0.020878744417172024,0.2435265705695323,NEUTRAL,1.0,0.0019003355623125316,0.05,0.016240421059670225,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,0.9,1,1.0,0.9,LIGHT_REDUCE,0,,,0.013371849952627968,-0.013272526955761088,0.006612010868708452,0.7933003063354161
2026-02-03,0.004185746456812304,0.02669639941668982,-0.5749597376835056,0.36009318069784363,0.6599423488416934,0.8212330557653782,0,2,LOW,0.28720728900721293,0.26628576410571475,0.256162853946659,-0.23791113265664218,0.12145999751406808,0.3225942610815967,NEUTRAL,1.0,0.0,0.05,0.012064474992769435,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,0.8,1,1.0,0.8,LIGHT_REDUCE,0,,,0.008569441719055604,-0.008569441719055604,0.006562177822725742,0.793359544203665
2026-02-02,0.0024835745998977115,0.08411593670927826,-0.7876622766585921,0.3126708442250404,0.6600948075633354,0.8212605068760662,0,0,LOW,0.30928446814156046,0.40203835254931325,0.35668331662175046,-0.6119236586874834,0.1996425795946948,0.37522446507457147,NEUTRAL,1.0,0.0,0.05,0.031054901338180903,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,1.0,1.0,FULL_RISK_ON,0,,,0.0001150513896206462,0.003868740708995677,0.006390154991499328,0.7931500940468403
