date,p_lead5,p_lead10,srs,srs_accel,sentiment_signal,vol20,hurst_100,drawdown_252,ret5d,external_event,is_trading_day,lead5_slope_5d,vol60,ret20d,trend_score,trend_score_slope_5d,mode,active_track,switch_reason,action,reference_prob,execution_signal,warning_level,signal_stage,prewarning_type,warning_source,warning_sources,portfolio_state,cooldown_left,normal_streak,is_new_warning,short_early_streak,short_streak,watch_streak,short_trend_streak,dd_expand_streak
2026-02-20,0.1034482758620689,0.2043010752688172,0.4309712623578963,-0.267554928008815,0,,,,,0.0,1.0,-0.005172413793103459,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1034482758620689,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-02-19,0.1034482758620689,0.2043010752688172,0.629554055001065,-0.21004166026079518,0,,,,,,,-0.005172413793103459,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1034482758620689,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-02-18,0.1293103448275862,0.2043010752688172,0.5194732136972623,-0.427724826121623,0,,,,,,,0.0,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1293103448275862,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-02-17,0.1293103448275862,0.2043010752688172,0.8980720476802493,-0.03308216253968255,0,,,,,,,0.0,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1293103448275862,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-02-13,0.1293103448275862,0.2043010752688172,1.1363188868336405,0.38884112266894566,1,,,,,,,0.0,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1293103448275862,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-02-12,0.1293103448275862,0.2043010752688172,1.167565677786191,0.43811681701929195,1,,,,,,,0.0,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1293103448275862,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-02-11,0.1293103448275862,0.2043010752688172,0.43925406570249526,-0.408446254118767,0,,,,,,,0.0,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1293103448275862,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-02-10,0.1293103448275862,0.2043010752688172,0.5615850419679378,-0.3977662217262776,0,,,,,,,0.0,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1293103448275862,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-02-09,0.1293103448275862,0.2043010752688172,0.43266514853321225,-0.5897849866593676,0,,,,,,,0.005172413793103459,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1293103448275862,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-02-06,0.1293103448275862,0.2043010752688172,1.0461743698446613,0.03346541603593822,0,,,,,,,0.005172413793103459,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1293103448275862,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-02-05,0.1293103448275862,0.2043010752688172,1.7588229730580067,0.8406092099498689,1,,,,,,,0.006003912937148456,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1293103448275862,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-02-04,0.1293103448275862,0.2043010752688172,0.9975087850672618,0.36348604145230834,1,,,,,,,0.006003912937148456,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1293103448275862,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-02-03,0.1293103448275862,0.2043010752688172,0.8770793994597601,0.4406249606817009,1,,,,,,,0.006003912937148456,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1293103448275862,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-02-02,0.1034482758620689,0.2043010752688172,0.3839592416139274,0.13340722728687648,0,,,,,,,0.0008314991440449976,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1034482758620689,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
2026-01-30,0.1034482758620689,0.2043010752688172,0.5736984163417347,0.43473317424242963,1,,,,,,,0.0,,,0.0,0.0,NORMAL,LEAD5,,HOLD_STRATEGIC,0.1034482758620689,NONE,NONE,NONE,NONE,NONE,NONE,NORMAL,0,0,0,0,0,0,0.0,0.0
