date,spy_ret1d,strategy_ret1d,final_allocation,applied_allocation,p_structural,p_shock,risk_regime,tactical_gate_on,early_struct_level,split_test_year
2020-06-01,0.003856700624144338,0.003856700624144338,1.0,1.0,0.09628583107783016,4.5353432182361814e-08,LOW,0,0,2020
2020-06-02,-0.0011886386842338004,-0.0011886386842338004,1.0,1.0,0.11762247270272168,4.5353432182361814e-08,LOW,0,0,2020
2020-06-03,-0.01743301386341134,-0.01743301386341134,1.0,1.0,0.10637838536794796,4.5353432182361814e-08,LOW,0,0,2020
2020-06-04,-0.002589117984084899,-0.002589117984084899,1.0,1.0,0.08862603912552718,4.5353432448964435e-08,LOW,0,0,2020
2020-06-05,-0.00742360950384946,-0.00742360950384946,1.0,1.0,0.09127227353577994,4.5353432182361814e-08,LOW,0,0,2020
2020-06-08,0.013383163816588661,0.013383163816588661,1.0,1.0,0.029606273211968473,4.5353432182361814e-08,LOW,0,0,2020
2020-06-09,0.0033726979906796295,0.0033726979906796295,1.0,1.0,0.030575381931583084,4.5353432182361814e-08,LOW,0,0,2020
2020-06-10,0.009907023312698993,0.009907023312698993,1.0,1.0,0.09557402841237739,4.5353432182361814e-08,LOW,0,0,2020
2020-06-11,-0.03328757676380745,-0.03328757676380745,1.0,1.0,0.14006675539541472,4.535343241573361e-08,LOW,0,1,2020
2020-06-12,0.0047143578870756375,0.0047143578870756375,1.0,1.0,0.12615875359722223,4.535343179302931e-08,LOW,0,1,2020
2020-06-15,0.013945928759460324,0.013945928759460324,1.0,1.0,0.13175263125021977,4.535343179302931e-08,LOW,0,1,2020
2020-06-16,0.00587783569647482,0.00587783569647482,1.0,1.0,0.11810535173920282,4.5353432182361814e-08,LOW,0,0,2020
2020-06-17,0.0025005961279818134,0.0025005961279818134,1.0,1.0,0.11068507143441204,4.5353432182361814e-08,LOW,0,0,2020
2020-06-18,0.00248183341692787,0.00248183341692787,1.0,1.0,0.09990063966609482,4.5353432182361814e-08,LOW,0,0,2020
2020-06-19,0.02355538734023388,0.02355538734023388,1.0,1.0,0.10223030720897204,4.5353432182361814e-08,LOW,0,0,2020
2020-06-22,0.013059368062319887,0.013059368062319887,1.0,1.0,0.09571790316985973,4.5353432182361814e-08,LOW,0,0,2020
2020-06-23,0.009158454947765682,0.009158454947765682,1.0,1.0,0.08223027838678515,4.5353432448964435e-08,LOW,0,0,2020
2020-06-24,-0.012687571951683796,-0.012687571951683796,1.0,1.0,0.11563319265882828,4.535343218236197e-08,LOW,0,0,2020
2020-06-25,0.009774396308134481,0.009774396308134481,1.0,1.0,0.08223135697724769,4.5353432448964594e-08,LOW,0,0,2020
2020-06-26,-0.012265390670129328,-0.012265390670129328,1.0,1.0,0.10384423574187283,4.535343218236197e-08,LOW,0,0,2020
2020-06-29,-0.00013485256987777472,-0.00013485256987777472,1.0,1.0,0.12066057787702804,4.535343218236197e-08,LOW,0,0,2020
2020-06-30,0.011990326246890115,0.011990326246890115,1.0,1.0,0.10840959062453365,4.535343218236197e-08,LOW,0,0,2020
2020-07-01,0.0007266120994859904,0.0007266120994859904,1.0,1.0,0.09014653656606818,4.535343218236197e-08,LOW,0,0,2020
2020-07-02,0.003503536348816727,0.003503536348816727,1.0,1.0,0.09185875614753346,4.535343218236197e-08,LOW,0,0,2020
