window_start,window_end,n_days,strategy_cagr,benchmark_cagr,strategy_sharpe,benchmark_sharpe,strategy_calmar,benchmark_calmar,strategy_mdd,benchmark_mdd,cagr_impact,dd_reduction,sharpe_diff,calmar_diff
2016-01-01,2020-12-31,1259,0.13372265814146522,0.15434827941387708,1.0864316187708072,0.8567246079371813,0.7493488999264665,0.4577722518668467,-0.17845179749324702,-0.3371726416016424,0.020625621272411854,0.470740577748056,0.22970701083362588,0.29157664805961975
2016-02-01,2021-01-31,1259,0.14136548336474752,0.1605450658050227,1.147185930483927,0.8892851098916276,0.7921774134558522,0.4761509268438837,-0.17845179749324647,-0.3371726416016425,0.019179582440275178,0.4707405777480579,0.25790082059229935,0.3160264866119685
2016-03-01,2021-02-28,1258,0.1446282764589446,0.1672698376820907,1.1671478796641783,0.922374556013173,0.8104613037838299,0.49609552212635943,-0.17845179749324658,-0.3371726416016425,0.02264156122314609,0.47074057774805755,0.24477332365100535,0.3143657816574704
2016-04-01,2021-03-31,1259,0.1400086694014795,0.1623003660611353,1.1326657983272148,0.8973746345755116,0.7845741615843239,0.4813568659965225,-0.17845179749324658,-0.3371726416016424,0.022291696659655802,0.47074057774805733,0.23529116375170323,0.3032172955878014
2016-05-01,2021-04-30,1259,0.1465057752008312,0.17343299302598192,1.180505928805203,0.94805901261056,0.8209823451421114,0.5143744528089167,-0.17845179749324713,-0.3371726416016426,0.02692721782515073,0.470740577748056,0.23244691619464308,0.30660789233319474
2016-06-01,2021-05-31,1258,0.14622331546940837,0.17115769603664188,1.1778801146090823,0.9362793159609284,0.819399510251176,0.5076262867105883,-0.1784517974932467,-0.3371726416016426,0.024934380567233516,0.47074057774805733,0.24160079864815387,0.3117732235405877
2016-07-01,2021-06-30,1258,0.15219358130919436,0.17555529127581804,1.2340504511308483,0.96122961599331,0.8528554122014578,0.5206688491743953,-0.17845179749324713,-0.3371726416016425,0.02336170996662368,0.4707405777480559,0.2728208351375383,0.3321865630270625
2016-08-01,2021-07-31,1259,0.1473929242137355,0.17265427723652005,1.1994887462977912,0.9470019776181962,0.8259537101009832,0.51206490661987,-0.17845179749324558,-0.3371726416016426,0.02526135302278454,0.47074057774806066,0.2524867686795951,0.31388880348111314
2016-09-01,2021-08-31,1258,0.14999244745958573,0.1794297289516953,1.2166057983484606,0.9768526527494173,0.8405207992665996,0.5321598101772602,-0.17845179749324747,-0.3371726416016422,0.029437281492109557,0.47074057774805433,0.23975314559904326,0.3083609890893394
2016-10-01,2021-09-30,1258,0.14590196093714347,0.1681940157875288,1.1906181534416302,0.925918243183261,0.8175987184587773,0.49883648622430027,-0.17845179749324636,-0.33717264160164273,0.022292054850385323,0.47074057774805855,0.26469991025836925,0.318762232234477
2016-11-01,2021-10-31,1258,0.15841876215724326,0.18832675069661065,1.279380433032163,1.0158034965935323,0.8877397951860829,0.5585469503160695,-0.1784517974932468,-0.33717264160164273,0.02990798853936738,0.4707405777480572,0.26357693643863067,0.32919284487001343
