train_start,train_end,test_start,test_end,train_rows,test_rows,test_strategy_cagr,test_benchmark_cagr,test_strategy_mdd,test_benchmark_mdd,test_strategy_sharpe,test_benchmark_sharpe,test_strategy_calmar,test_benchmark_calmar,test_cagr_impact,test_dd_reduction,test_sharpe_diff,test_calmar_diff,test_avg_applied_allocation,test_tactical_gate_cov
2016-01-04,2019-12-31,2020-01-01,2020-12-31,1006,253,0.26630600870210275,0.3075862395798161,-0.14691117403246456,-0.1994528787100408,1.2941406095649977,1.236338085592077,1.812700840871738,1.5421499131480407,0.041280230877713375,0.2634291619022453,0.05780252397292074,0.27055092772369727,0.9336363636363636,0.03162055335968379
2016-01-04,2020-12-31,2021-01-01,2021-12-31,1259,252,-0.08314724624665648,-0.07539973529189625,-0.1797300593621648,-0.18232640837734548,-0.5158859744567137,-0.3702479129400935,-0.46262292763789026,-0.41354259080148076,0.007747510954760228,0.014240114958044114,-0.14563806151662018,-0.0490803368364095,0.8289642857142857,0.3611111111111111
2016-01-04,2021-12-31,2022-01-01,2022-12-31,1511,251,-0.11106302353778452,-0.11587459265701994,-0.18703262936506548,-0.2252597519319961,-0.6818717122840389,-0.4708048691575999,-0.5938162978022551,-0.5144043339442256,-0.004811569119235415,0.16970240905916933,-0.21106684312643897,-0.07941196385802951,0.6909960159362549,0.3784860557768924
2016-01-04,2022-12-30,2023-01-01,2023-12-31,1762,250,0.07319864836652501,0.08718762985294815,-0.12522129157128736,-0.12816962722787828,0.6371158786102156,0.681450806100493,0.5845543313602837,0.6802518797837612,0.013988981486423135,0.023003387934872777,-0.044334927490277454,-0.09569754842347755,0.8338240000000001,0.396
2016-01-04,2023-12-29,2024-01-01,2024-12-31,2012,252,0.05118400645967092,0.11633082073235523,-0.095889725250629,-0.08350783645734439,0.4328381481297307,0.8209335261303297,0.533779884402528,1.3930527441191314,0.06514681427268432,-0.14827217802019388,-0.38809537800059896,-0.8592728597166034,0.9228968253968254,0.08333333333333333
