date,p_structural,p_shock,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,composite_risk_score,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2025-12-09,0.0076480861687703,0.0032269282809002,0,LOW,0.21249999999999997,0.2291666666666666,0.25,0.0,0.25,0.25,NEUTRAL,1.0,0.006100680908015766,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0063283366656226,0.002215517605308,0.0079875111242804,0.8123028941915368
2025-12-08,0.0076325775047261,0.0032269282809002,0,LOW,0.21249999999999997,0.2291666666666666,0.25,0.0,0.25,0.25,NEUTRAL,1.0,0.006090600276387035,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0054699356141325,0.0049392105811842,0.0079999835668974,0.8133101505871997
2025-12-05,0.0070600523660941,0.0032269282809002,0,LOW,0.23391666666666663,0.2645833333333333,0.25,-0.0499999999999999,0.3,0.3,NEUTRAL,1.0,0.0057184589362762345,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0024731461355878,0.0033655586861458,0.0086634327912498,0.8143929131592594
2025-12-04,0.0091927192758793,0.0032269282809002,0,LOW,0.2563333333333333,0.3,0.3,-0.0999999999999999,0.3,0.35,BULL,0.6,0.004262815456581969,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.004364317909573,0.0069297056516535,0.0086615231473982,0.8157566749736497
2025-12-03,0.0088476419560557,0.0032269282809002,0,LOW,0.26925,0.3229166666666666,0.3,-0.15,0.3,0.4,BULL,0.6,0.004128235301850765,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0050917190703335,0.0061940531937612,0.0090556452570364,0.8169389292756969
2025-12-02,0.0112342244957616,0.0032269282809002,0,LOW,0.3001666666666667,0.3708333333333333,0.35,-0.2,0.35,0.45,BULL,0.6,0.005059002492336066,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0085249670563327,0.0096441951641361,0.0090556917669784,0.8177838816795611
2025-12-01,0.0113086491193966,0.0032269282809002,0,LOW,0.30049482042818176,0.3708333333333333,0.35,-0.2,0.35,0.45,BULL,0.6,0.0050880280955537165,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0103579859216528,0.0172566538559557,0.0094578573887178,0.8183186812124292
2025-11-28,0.0084408037937152,0.0032269282809002,0,LOW,0.2960833333333333,0.3687499999999999,0.3,-0.25,0.35,0.45,BULL,0.6,0.0039695684185379705,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.005819120231094,0.0369633808594229,0.0094103145897751,0.819131975715865
2025-11-26,0.0116736378779005,0.0032269282809002,0,LOW,0.3066982730916397,0.38125,0.35,-0.25,0.35,0.45,BULL,0.6,0.005230373711370236,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0112162979181525,0.0257307812938096,0.0096775570302528,0.8205754376349305
2025-11-25,0.0124868039710862,0.0032269282809002,0,LOW,0.31291264163342764,0.38125,0.35,-0.25,0.35,0.45,BULL,0.6,0.005547508487712661,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0179956090546483,0.0226335446836185,0.0095236134017255,0.8210198645656106
2025-11-24,0.0136764219485589,0.0032269282809002,0,LOW,0.3213006717996774,0.38125,0.35,-0.25,0.35,0.45,NEUTRAL,1.0,0.010019099164878356,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.02714618741783,0.0045968417921127,0.0092572709504578,0.8210232200240719
2025-11-21,0.0201484409299224,0.003373363408567,1,LOW,0.3635266493908069,0.3708333333333333,0.35,-0.2,0.35,0.45,BEAR,1.5,0.021415745696172016,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0412574849606158,-0.0191984360723719,0.0090131066395485,0.8210106947903439
2025-11-20,0.105126319321331,0.003373363408567,2,LOW,0.5193962939920908,0.325,0.35,-0.1,0.3,0.4,BEAR,1.5,0.1042691771277954,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0507135219405224,-0.0290309131781594,0.0089034422270838,0.8216644380634892
2025-11-19,0.0195334680772802,0.003373363408567,2,LOW,0.35285216113545004,0.2666666666666666,0.3,0.0,0.25,0.35,BEAR,1.5,0.020816147164845873,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.036020250036134,-0.0303637448827702,0.0084181144027563,0.8228751266401119
2025-11-18,0.0305841594382485,0.003373363408567,2,LOW,0.40464360099417884,0.24375,0.35,0.0499999999999999,0.2,0.3,BEAR,1.5,0.03159057124178996,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0397299247120206,-0.0335577513669745,0.0084230142374408,0.8228469791851724
2025-11-17,0.0180851077198757,0.003373363408567,2,LOW,0.3403956071463027,0.1854166666666666,0.3,0.15,0.15,0.25,BEAR,1.5,0.019403995816376484,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0315977792178959,-0.0231422175349583,0.0082318697071852,0.822741207035591
2025-11-14,0.0092556013918794,0.0032269282809002,0,LOW,0.17928326798329725,0.1375,0.25,0.25,0.1,0.2,NEUTRAL,1.0,0.00714556580303668,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0224908377999606,0.0014308283057125,0.008286880737453,0.8222900866674437
