strategy,days,final_nav,total_return,annualized_return,annualized_vol,sharpe_like,max_drawdown,win_rate,total_trades,trades_per_year,total_turnover,total_trade_cost
lead5_primary,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
lead10_primary,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
