case,window_start,window_end,rows,cagr_impact,dd_reduction,tactical_cov_all,tactical_avg_all,tactical_cov_2017,tactical_cov_2021
baseline_none,2016-01-04,2026-03-02,2554,0.0380934509242572,0.5035692083078638,0.48003132341425214,0.9207909162098667,0.08366533864541832,0.27380952380952384
A_ma100,2016-01-04,2026-03-02,2554,0.023687976515736286,0.47074057774805766,0.19929522317932655,0.9646045418950665,0.00796812749003984,0.19047619047619047
B_ret20d_neg,2016-01-04,2026-03-02,2554,0.025552050844892538,0.48178195626278525,0.2494126859827721,0.9547768206734534,0.05179282868525897,0.14682539682539683
