date,p_structural,p_shock,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,composite_risk_score,shock_high_cut_eff,shock_risk_cut_eff,hard_gate_reason,hard_force_crisis,hard_trend_cap_flag,hard_credit_high_flag,hard_max_allocation,recovery_active,recovery_cap,recovery_days,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2025-12-19,0.0061080370881027,0.0413774839301906,0,LOW,0.17077000218647798,0.1660295924634633,0.1871107743826019,0.0250266715511447,0.0999685481509795,0.2312279402795593,NEUTRAL,1.0,0.018452343482833464,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0095315423729807,0.0012337202132666,0.0065069284885163,0.8004976230227048
2025-12-18,0.0118832024697375,0.0494024751328342,1,LOW,0.1998170461564914,0.1412826298331271,0.1710029125670129,0.0910371273298503,0.0794294954220491,0.2238957174516551,BEAR,1.5,0.03752242185273201,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0184279861226953,-0.0184279861226953,0.0065626835802335,0.8006372703529125
2025-12-17,0.0177493554258027,0.0543112132310007,2,LOW,0.2682130205647481,0.134294583177656,0.1589004086320489,0.1472163565658784,0.086566991910695,0.2477245626394455,BEAR,1.5,0.045819008486433,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.025784559979691,-0.0235176271136341,0.0074366415292502,0.8024823364441869
2025-12-16,0.0087384946152792,0.0486062630311351,0,LOW,0.14551784315114139,0.0980166947864796,0.1385226271447204,0.2305096911746221,0.0299620433347825,0.2235821086664155,NEUTRAL,1.0,0.02269221356082876,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0149454250426404,-0.0061049711972336,0.0069328646121396,0.8043797255238303
2025-12-15,0.0051718042819175,0.0445642669611321,0,LOW,0.20920517880862838,0.230628143100999,0.2350484196357605,-0.1640249948700003,0.1050376597167026,0.279072330659866,NEUTRAL,1.0,0.01895916621964261,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0122465667811976,-0.0042420950974673,0.0072214829840824,0.8059989516864986
2025-12-12,0.004772465500005,0.0467371321148052,2,LOW,0.27246995323779416,0.2525032009939128,0.2495008845007779,-0.2288885323408638,0.1162784657228273,0.2868263434679928,NEUTRAL,1.0,0.019460098815185067,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0107519976294389,-0.005731415951404,0.0075747979394496,0.8074974262871318
2025-12-11,0.0028979122034755,0.0841004156984071,0,LOW,0.4275948546994723,0.5930413901559773,0.4153322537495484,-0.9057272492518144,0.512609230505044,0.5227847019928049,BULL,0.6,0.01879127305602093,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.006984251355768,0.0070823274940133,0.808930538257088
2025-12-10,0.0037467318676887,0.0408430128883977,0,LOW,0.2504375050832149,0.3033485523881171,0.2816568482885174,-0.3699969744238748,0.16643579796009,0.2903040846172987,BULL,0.6,0.010038258134962109,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.0053810284821429,0.0081228483248578,0.8107409177882138
2025-12-09,0.004105006083464,0.0410473342362705,0,LOW,0.24311907096781257,0.2903271029805239,0.2690832791984514,-0.3196401667085101,0.174340706168434,0.284850954298118,NEUTRAL,1.0,0.017034820936946277,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0063283366656226,0.002215517605308,0.0079875111242804,0.8123028941915368
2025-12-08,0.0044150697581841,0.0413654213395743,0,LOW,0.2251467453336945,0.2601819045246691,0.2476675346914099,-0.2407719292975068,0.1571883359764198,0.268561806349591,NEUTRAL,1.0,0.01734769281167067,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0054699356141325,0.0049392105811842,0.0079999835668974,0.8133101505871997
