date,final_allocation,applied_allocation,spy_ret1d,strategy_ret1d_gross,trade_cost,strategy_ret1d,strategy_nav,benchmark_nav
2026-03-02,1.0,1.0,0.0,0.0,0.0,0.0,2.8604987830535915,4.027707187799518
2026-02-27,1.0,1.0,0.0,0.0,0.0,0.0,2.8604987830535915,4.027707187799518
2026-02-26,1.0,1.0,0.0,0.0,0.0,0.0,2.8604987830535915,4.027707187799518
2026-02-25,1.0,1.0,0.0,0.0,3.999999999999999e-05,-3.999999999999999e-05,2.8604987830535915,4.027707187799518
2026-02-24,1.0,0.8,0.0,0.0,3.999999999999999e-05,-3.999999999999999e-05,2.860613207581895,4.027707187799518
2026-02-23,0.8,1.0,0.0,0.0,0.0,0.0,2.8607276366873626,4.027707187799518
2026-02-20,1.0,1.0,0.0,0.0,0.0,0.0,2.8607276366873626,4.027707187799518
2026-02-19,1.0,1.0,-0.0026373655692836,-0.0026373655692836,1.9999999999999995e-05,-0.0026573655692836,2.8607276366873626,4.027707187799518
2026-02-18,1.0,0.9,0.0050377133549055,0.0045339420194149506,0.0,0.0045339420194149506,2.8683498909281737,4.038357813653695
2026-02-17,0.9,0.9,0.0016134588719287,0.00145211298473583,1.9999999999999995e-05,0.00143211298473583,2.8554036563084457,4.018115698537616
2026-02-13,0.9,0.8,0.0007045377823615,0.0005636302258892,3.999999999999999e-05,0.0005236302258892,2.8513202435639973,4.011643077423336
2026-02-12,0.8,1.0,-0.0154488729145521,-0.0154488729145521,0.0,-0.0154488729145521,2.8498279874911616,4.008818713177264
2026-02-11,1.0,1.0,-0.0002311349847712,-0.0002311349847712,0.0,-0.0002311349847712,2.8945454523295964,4.071722232490363
2026-02-10,1.0,1.0,-0.0026371021797716,-0.0026371021797716,0.0,-0.0026371021797716,2.8952146377207955,4.072663567522021
2026-02-09,1.0,1.0,0.0048217791453875,0.0048217791453875,3.999999999999999e-05,0.0047817791453875,2.9028698020032517,4.083431994936818
2026-02-06,1.0,0.8,0.0191847939754963,0.015347835180397042,1.9999999999999995e-05,0.015327835180397043,2.889054979154055,4.063837070101948
2026-02-05,0.8,0.9,-0.0124892628772314,-0.01124033658950826,1.9999999999999995e-05,-0.01126033658950826,2.8454405356086254,3.987340759127978
2026-02-04,0.9,0.8,-0.0048439179057576,-0.00387513432460608,3.999999999999999e-05,-0.00391513432460608,2.877846050793346,4.037769524152796
2026-02-03,0.8,1.0,-0.0084553631307128,-0.0084553631307128,0.0,-0.0084553631307128,2.889157490453413,4.0574233497679755
2026-02-02,1.0,1.0,0.0049713175239538,0.0049713175239538,0.00014,0.0048313175239537995,2.913794682582992,4.092022889235651
2026-01-30,1.0,0.3,-0.0029825476770117,-0.00089476430310351,0.00014,-0.00103476430310351,2.899784900975214,4.071780774119572
2026-01-29,0.3,1.0,-0.0019844193677575,-0.0019844193677575,0.0,-0.0019844193677575,2.9027886030010555,4.083961383657405
2026-01-28,1.0,1.0,-0.000100658996106,-0.000100658996106,0.0,-0.000100658996106,2.9085604066042134,4.0920817900159605
2026-01-27,1.0,1.0,0.0039842504921721,0.0039842504921721,0.0,0.0039842504921721,2.908853208848036,4.09249373632703
2026-01-26,1.0,1.0,0.0050781308114595,0.0050781308114595,0.0,0.0050781308114595,2.89730960164172,4.0762529236099185
2026-01-23,1.0,1.0,0.0003628552455616,0.0003628552455616,0.0,0.0003628552455616,2.8826710211101187,4.05565776296308
2026-01-22,1.0,1.0,0.0052231630101675,0.0052231630101675,3.999999999999999e-05,0.0051831630101675,2.881625408215004,4.054186680059734
2026-01-21,1.0,0.8,0.0115410831591598,0.00923286652732784,3.999999999999999e-05,0.00919286652732784,2.8667664901842933,4.033121031472618
2026-01-20,0.8,1.0,-0.0203567599707628,-0.0203567599707628,0.0,-0.0203567599707628,2.8406527486157818,3.9871055151578365
2026-01-16,1.0,1.0,-0.0008378844014015,-0.0008378844014015,0.0,-0.0008378844014015,2.8996808557888922,4.069956645685466
2026-01-15,1.0,1.0,0.002723224002989,0.002723224002989,0.0,0.002723224002989,2.9021124905758584,4.073369658583536
2026-01-14,1.0,1.0,-0.0049152227448391,-0.0049152227448391,0.0,-0.0049152227448391,2.8942308516504522,4.062307086418289
2026-01-13,1.0,1.0,-0.001999473023445,-0.001999473023445,0.0,-0.001999473023445,2.908526909268867,4.082372858344538
2026-01-12,1.0,1.0,0.0015703975230316,0.0015703975230316,0.0,0.0015703975230316,2.914354081635865,4.090551806332304
2026-01-09,1.0,1.0,0.0066133884845902,0.0066133884845902,0.0,0.0066133884845902,2.9097845631653145,4.084138085998332
2026-01-08,1.0,1.0,-0.000101521683465,-0.000101521683465,0.0,-0.000101521683465,2.89066745629706,4.057305548207354
2026-01-07,1.0,1.0,-0.0032234001772446,-0.0032234001772446,0.0,-0.0032234001772446,2.8909609515196895,4.057717494518423
2026-01-06,1.0,1.0,0.0059472271123479,0.0059472271123479,1.9999999999999995e-05,0.0059272271123479,2.900309810677492,4.070839439087913
2026-01-05,1.0,0.9,0.0066601108169108,0.00599409973521972,1.9999999999999995e-05,0.00597409973521972,2.883220309090578,4.046772364762695
2026-01-02,0.9,0.8,0.0018330596423725,0.001466447713898,3.999999999999999e-05,0.0014264477138980001,2.8660979540621017,4.019998727752026
2025-12-31,0.8,1.0,-0.0074089558858178,-0.0074089558858178,0.0,-0.0074089558858178,2.862015438682452,4.012643313235298
2025-12-30,1.0,1.0,-0.0012211468345215,-0.0012211468345215,0.0,-0.0012211468345215,2.883378261020479,4.042594719173898
2025-12-29,1.0,1.0,-0.0035636481890115,-0.0035636481890115,0.0,-0.0035636481890115,2.8869035942061125,4.047537356604523
2025-12-26,1.0,1.0,-0.0001014040437492,-0.0001014040437492,0.0,-0.0001014040437492,2.897228296578367,4.062012941667839
2025-12-24,1.0,1.0,0.003517621421107,0.003517621421107,0.0,0.003517621421107,2.8975221170378873,4.062424887978907
2025-12-23,1.0,1.0,0.0045704843606495,0.0045704843606495,0.0,0.0045704843606495,2.887365458450677,4.0481849060368305
2025-12-22,1.0,1.0,0.0062298741783874,0.0062298741783874,1.9999999999999995e-05,0.0062098741783874,2.8742288404863063,4.029766919354856
2025-12-19,1.0,0.9,0.0090634651599048,0.008157118643914319,1.9999999999999995e-05,0.00813711864391432,2.8564903945444136,4.0048174107782915
2025-12-18,0.9,0.8,0.0075512802967301,0.00604102423738408,3.999999999999999e-05,0.00600102423738408,2.83343440264038,3.968845914110718
2025-12-17,0.8,1.0,-0.011003588240296,-0.011003588240296,0.0,-0.011003588240296,2.816532323899285,3.939100660903203
2025-12-16,1.0,1.0,-0.0027323197983205,-0.0027323197983205,3.999999999999999e-05,-0.0027723197983205,2.8478691028695224,3.9829271512668387
2025-12-15,1.0,0.8,-0.0015108134140046,-0.0012086507312036802,3.999999999999999e-05,-0.00124865073120368,2.8557862556458207,3.993839598272515
2025-12-12,0.8,1.0,-0.0107519976294389,-0.0107519976294389,0.0,-0.0107519976294389,2.8593565933468756,3.999882674671854
2025-12-11,1.0,1.0,0.0023269317780567,0.0023269317780567,0.0,0.0023269317780567,2.8904345386545374,4.04335683780693
2025-12-10,1.0,1.0,0.0066322183023486,0.0066322183023486,0.0,0.0066322183023486,2.8837243089209545,4.033970064671715
2025-12-09,1.0,1.0,-0.0008631222747601,-0.0008631222747601,0.0,-0.0008631222747601,2.8647248284823017,4.007392165010246
2025-12-08,1.0,1.0,-0.0030042193520256,-0.0030042193520256,0.0,-0.0030042193520256,2.867199572299336,4.01085402245784
2025-12-05,1.0,1.0,0.0018994616283884,0.0018994616283884,0.0,0.0018994616283884,2.8758392241498414,4.022939816105418
2025-12-04,1.0,1.0,0.000731123837949,0.000731123837949,0.0,0.000731123837949,2.870387034119907,4.015312883357506
2025-12-03,1.0,1.0,0.0034627679688574,0.0034627679688574,0.0,0.0034627679688574,2.8682899589567636,4.012379337177202
2025-12-02,1.0,1.0,0.001852203967944,0.001852203967944,0.0,0.001852203967944,2.858392010659813,3.99853334399122
2025-12-01,1.0,1.0,-0.0045654324911315,-0.0045654324911315,0.0,-0.0045654324911315,2.8531074736760993,3.991140936911249
2025-11-28,1.0,1.0,0.0054584007358686,0.0054584007358686,0.0,0.0054584007358686,2.866192883793621,4.009445790996897
2025-11-26,1.0,1.0,0.0069035446266889,0.0069035446266889,0.0,0.0069035446266889,2.8506329866018616,3.9876794386147534
2025-11-25,1.0,1.0,0.0094059130414405,0.0094059130414405,1.9999999999999995e-05,0.009385913041440501,2.8310884412058934,3.9603390611691527
2025-11-24,1.0,0.9,0.0147185478075999,0.01324669302683991,1.9999999999999995e-05,0.013226693026839912,2.8047631779161386,3.9234355673985073
2025-11-21,0.9,0.8,0.0099612047558461,0.007968963804676881,0.0,0.007968963804676881,2.768149711430709,3.8665259207841216
2025-11-20,0.8,0.8,-0.0152423034871211,-0.01219384278969688,0.0,-0.01219384278969688,2.7462648264308247,3.8283905387423647
2025-11-19,0.8,0.8,0.0038631576379948,0.00309052611039584,0.0,0.00309052611039584,2.7801657302751024,3.887647237791653
2025-11-18,0.8,0.8,-0.0083974874485077,-0.00671798995880616,3.999999999999999e-05,-0.00675798995880616,2.7716000280209303,3.87268643959298
2025-11-17,0.8,1.0,-0.0093164767862008,-0.0093164767862008,3.999999999999999e-05,-0.0093564767862008,2.7904579145881883,3.9054826813903194
2025-11-14,1.0,0.8,-0.0001635960078566,-0.00013087680628528,3.999999999999999e-05,-0.00017087680628528,2.8168133634342207,3.9422101911222343
2025-11-13,0.8,1.0,-0.0165940625668752,-0.0165940625668752,0.0,-0.0165940625668752,2.8172947737675265,3.942855226496846
2025-11-12,1.0,1.0,0.0005564068664263,0.0005564068664263,0.0,0.0005564068664263,2.8648340085491024,4.009387249367685
2025-11-11,1.0,1.0,0.0022892033827353,0.0022892033827353,1.9999999999999995e-05,0.0022692033827353,2.8632408816623127,4.007157639342302
2025-11-10,1.0,0.9,0.0156043582283895,0.01404392240555055,1.9999999999999995e-05,0.014023922405550551,2.856758316027925,3.9980053918750276
2025-11-07,0.9,0.8,0.0009845659403016,0.00078765275224128,1.9999999999999995e-05,0.0007676527522412801,2.8172494286435463,3.9365776244295656
2025-11-06,0.8,0.9,-0.0107293822508095,-0.009656444025728551,1.9999999999999995e-05,-0.00967644402572855,2.8150884182714577,3.932705616426399
2025-11-05,0.9,0.8,0.0034654701339136,0.00277237610713088,3.999999999999999e-05,0.00273237610713088,2.842594626058348,3.975358760148133
2025-11-04,0.8,1.0,-0.0118535951993655,-0.0118535951993655,0.0,-0.0118535951993655,2.8348487530581616,3.961629850220573
2025-11-03,1.0,1.0,0.0018766915803232,0.0018766915803232,3.999999999999999e-05,0.0018366915803232002,2.868854998900808,4.009152723699743
2025-10-31,1.0,0.8,0.0032802609225197,0.0026242087380157603,3.999999999999999e-05,0.00258420873801576,2.8635954572350526,4.001642874210252
2025-10-30,0.8,1.0,-0.0109981131919205,-0.0109981131919205,0.0,-0.0109981131919205,2.8562144030171295,3.988559358808402
2025-10-29,1.0,1.0,0.0004803260550556,0.0004803260550556,0.0,0.0004803260550556,2.8879766976333294,4.032913801288228
2025-10-28,1.0,1.0,0.0026560013292959,0.0026560013292959,0.0,0.0026560013292959,2.88659019315329,4.030977617711096
2025-10-27,1.0,1.0,0.0117976678540983,0.0117976678540983,0.0,0.0117976678540983,2.8789437148197603,4.0202996963733595
2025-10-24,1.0,1.0,0.0081725472470974,0.0081725472470974,3.999999999999999e-05,0.0081325472470974,2.845374926516341,3.973422576570999
