date,vol20,hurst_100,drawdown_252,ret5d,external_event,is_trading_day
2006-01-02,,,,,0,0
2006-01-03,,,,,0,0
2006-01-04,,,,,0,0
2006-01-05,,,,,0,0
2006-01-06,,,,,0,0
2006-01-09,,,,0.0,0,0
2006-01-10,,,,0.0,0,0
2006-01-11,,,,0.0,0,0
2006-01-12,,,,0.0,0,0
2006-01-13,,,,0.0,0,0
2006-01-16,,,,0.0,0,0
2006-01-17,,,,0.0,0,0
2006-01-18,,,,0.0,0,0
2006-01-19,,,,0.0,0,0
2006-01-20,,,,0.0,0,0
2006-01-23,,,,0.0,0,0
2006-01-24,,,,0.0,0,0
2006-01-25,,,,0.0,0,0
2006-01-26,,,,0.0,0,0
2006-01-27,,,0.0,0.0,0,0
2006-01-30,0.0,,0.0,0.0,0,0
2006-01-31,0.0,,0.0,0.0,0,0
2006-02-01,0.0,,0.0,0.0,0,0
2006-02-02,0.0,,0.0,0.0,0,0
2006-02-03,0.0,,0.0,0.0,0,0
2006-02-06,0.0,,0.0,0.0,0,0
2006-02-07,0.0,,0.0,0.0,0,0
2006-02-08,0.0,,0.0,0.0,0,0
2006-02-09,0.0,,0.0,0.0,0,0
2006-02-10,0.0,,0.0,0.0,0,0
2006-02-13,0.0,,0.0,0.0,0,0
2006-02-14,0.0,,0.0,0.0,0,0
2006-02-15,0.0,,0.0,0.0,0,0
2006-02-16,0.0,,0.0,0.0,0,0
2006-02-17,0.0,,0.0,0.0,0,0
2006-02-20,0.0,,0.0,0.0,0,0
2006-02-21,0.0,,0.0,0.0,0,1
2006-02-22,0.001357437662690027,,0.0,0.006070645777986661,0,1
2006-02-23,0.0014133504706440672,,0.0014694965332859855,0.004592228451774982,0,1
2006-02-24,0.0015041376710489475,,0.0,0.007160449566856686,0,1
2006-02-27,0.0015017784733682177,,0.0,0.007549149118704079,0,1
2006-02-28,0.002673170317485828,,0.009500831162657875,-0.002023405235152431,0,1
2006-03-01,0.0033450747841628145,,0.0006947413424540638,0.0007738197069333541,0,1
2006-03-02,0.003345543951487499,,0.0007724280740383227,0.002168702242036913,0,1
2006-03-03,0.003526408126350673,,0.005406825778199065,-0.005022976391285017,0,1
2006-03-06,0.0036794954843464823,,0.00996387823091438,-0.00996387823091438,0,1
2006-03-07,0.0036933792631668864,,0.01150899048909515,-0.0020274215159559184,0,1
2006-03-08,0.003729240280273987,,0.009423315171143032,-0.00873464214569919,0,1
2006-03-09,0.00401147457233946,,0.016066469791984006,-0.015305864397303526,0,1
2006-03-10,0.004585794494904093,,0.00672007302211286,-0.0013203863428293827,0,1
2006-03-13,0.004603695082574363,,0.004866604198566549,0.005148573794701017,0,1
2006-03-14,0.005150519675268747,,0.0,0.01726934486603615,0,1
2006-03-15,0.005216142386836558,,0.0,0.01965073819326002,0,1
2006-03-16,0.005218056046193682,,0.0,0.02865468733108134,0,1
2006-03-17,0.005213037847963735,,0.0,0.0198262225295327,0,1
2006-03-20,0.005242142014888094,,0.0016079998159398423,0.01628993645374588,0,1
2006-03-21,0.005485246424585603,,0.00788560412881767,-0.0005734001909692976,0,1
2006-03-22,0.005486580546183841,,0.0018374853242626443,0.0010587131943757822,0,1
2006-03-23,0.005500384774218324,,0.003904624710288296,-0.0030729330704178937,0,1
2006-03-24,0.005481587118211666,,0.0031391392633186577,-0.0031391392633186577,0,1
2006-03-27,0.005499479927325593,,0.0045939240024565065,-0.002990733285088698,0,1
2006-03-28,0.00522543573860873,,0.010718228961812737,-0.0028551393314959483,0,1
2006-03-29,0.005035834546389976,,0.0045168950804560515,-0.0026843421955830005,0,1
2006-03-30,0.005059569079281631,,0.00627777286631781,-0.002382450732028918,0,1
2006-03-31,0.004920622483102364,,0.00604820308127485,-0.0029182245311611954,0,1
2006-04-03,0.004780195643130996,,0.006813604251524552,-0.0022299243520726986,0,1
2006-04-04,0.004901751198505099,,0.00045981378384518656,0.010369558479988994,0,1
2006-04-05,0.004923701198690566,,0.0,0.007536354529351641,0,1
2006-04-06,0.004592705717605057,,0.0010683048797937023,0.008243447667634518,0,1
2006-04-07,0.004898374237640149,,0.011220730324271733,-0.002234119702656634,0,1
2006-04-10,0.00489445351713551,,0.00969330810428648,7.730280254469868e-05,0,1
2006-04-11,0.004704840211076096,,0.018090181098431524,-0.014705717441763522,0,1
2006-04-12,0.004599021080476765,,0.016257660953439834,-0.016257660953439834,0,1
2006-04-13,0.004561189413155459,,0.017555524503329423,-0.016504851837293777,0,1
2006-04-14,0.004550356957731827,,0.017555524503329423,-0.0064066818281244275,0,0
2006-04-17,0.004546090254375345,,0.017937254019524396,-0.008324639207937468,0,1
2006-04-18,0.0056638014458167815,,0.0023659163520808324,0.016013960186222587,0,1
2006-04-19,0.0055193864686949295,,0.00045810902978105084,0.01606066070000778,0,1
2006-04-20,0.005497434985857696,,0.0,0.018801732818219286,0,1
2006-04-21,0.0054970158829507594,,0.0,0.018957136003958874,0,1
2006-04-24,0.0055041451737192675,,0.0018301439412742315,0.0174876433396558,0,1
2006-04-25,0.005395551277861359,,0.0059472123837389645,-0.002524816936664398,0,1
2006-04-26,0.0052193005420688564,,0.005718738167625026,-0.004199856333977681,0,1
2006-04-27,0.0052993103024955995,,0.0009149040983255086,-0.0007625083948958888,0,1
2006-04-28,0.005337410206289105,,0.0,0.002439856177075761,0,1
2006-05-01,0.005683094217185292,,0.008138736996965101,-0.0038957239619566986,0,1
2006-05-02,0.0057515930854276495,,0.0006845079727387793,0.0077469633232829516,0,1
2006-05-03,0.005770646128061553,,0.004411245691472554,0.00375807730831923,0,1
2006-05-04,0.005820344284115398,,0.0008365650343279407,0.002518458290518222,0,1
2006-05-05,0.0055846867247195614,,0.0,0.007986261276065276,0,1
2006-05-08,0.005608361669014783,,0.001206901593120202,0.015030789692618063,0,1
2006-05-09,0.005144905787069778,,0.0,0.009438352502909586,0,1
2006-05-10,0.005164659761463138,,0.0005278337467296002,0.012682122641819005,0,1
2006-05-11,0.005962499176247924,,0.012592723680237006,-0.0031215395024878356,0,1
2006-05-12,0.006729513809393725,,0.025486260302469588,-0.024750412517951292,0,1
2006-05-15,0.006739349778625945,,0.02352616184433509,-0.021608011154603757,0,1
2006-05-16,0.005669502815415844,,0.02495817753840368,-0.02495817753840368,0,1
2006-05-17,0.006978709829337597,,0.0435079769383383,-0.04300284154258016,0,1
2006-05-18,0.006983964441607912,,0.04833343487706909,-0.036196524022026555,0,1
2006-05-19,0.007255101310498017,0.810425339917578,0.041622915704145336,-0.016558674079530378,0,1
2006-05-22,0.007382111135481014,0.8095657671407966,0.048937301917084675,-0.02602337008920319,0,1
2006-05-23,0.007479589113826943,0.8071781899929349,0.05617523980784478,-0.03201612643715146,0,1
2006-05-24,0.0077962041552831615,0.8067097971298444,0.0486351608826302,-0.005360404290545073,0,1
