date,final_allocation,applied_allocation,spy_ret1d,strategy_ret1d_gross,trade_cost,strategy_ret1d,strategy_nav,benchmark_nav
2026-03-02,1.0,1.0,0.0,0.0,0.0,0.0,3.2601249832532577,4.027707187799518
2026-02-27,1.0,1.0,0.0,0.0,0.0,0.0,3.2601249832532577,4.027707187799518
2026-02-26,1.0,1.0,0.0,0.0,0.0,0.0,3.2601249832532577,4.027707187799518
2026-02-25,1.0,1.0,0.0,0.0,0.0,0.0,3.2601249832532577,4.027707187799518
2026-02-24,1.0,1.0,0.0,0.0,0.0,0.0,3.2601249832532577,4.027707187799518
2026-02-23,1.0,1.0,0.0,0.0,0.0,0.0,3.2601249832532577,4.027707187799518
2026-02-20,1.0,1.0,0.0,0.0,0.0,0.0,3.2601249832532577,4.027707187799518
2026-02-19,1.0,1.0,-0.0026373655692836,-0.0026373655692836,0.0,-0.0026373655692836,3.2601249832532577,4.027707187799518
2026-02-18,1.0,1.0,0.0050377133549055,0.0050377133549055,0.0,0.0050377133549055,3.268745861041908,4.038357813653695
2026-02-17,1.0,1.0,0.0016134588719287,0.0016134588719287,0.0,0.0016134588719287,3.2523613965992806,4.018115698537616
2026-02-13,1.0,1.0,0.0007045377823615,0.0007045377823615,0.0,0.0007045377823615,3.2471222983188204,4.011643077423336
2026-02-12,1.0,1.0,-0.0154488729145521,-0.0154488729145521,0.0,-0.0154488729145521,3.244836188626359,4.008818713177264
2026-02-11,1.0,1.0,-0.0002311349847712,-0.0002311349847712,0.0,-0.0002311349847712,3.295751839959799,4.071722232490363
2026-02-10,1.0,1.0,-0.0026371021797716,-0.0026371021797716,0.0,-0.0026371021797716,3.29651377962205,4.072663567522021
2026-02-09,1.0,1.0,0.0048217791453875,0.0048217791453875,0.0,0.0048217791453875,3.3052300088831226,4.083431994936818
2026-02-06,1.0,1.0,0.0191847939754963,0.0191847939754963,0.0,0.0191847939754963,3.2893693961273995,4.063837070101948
2026-02-05,1.0,1.0,-0.0124892628772314,-0.0124892628772314,0.0,-0.0124892628772314,3.227451405840425,3.987340759127978
2026-02-04,1.0,1.0,-0.0048439179057576,-0.0048439179057576,0.0,-0.0048439179057576,3.2682696850912154,4.037769524152796
2026-02-03,1.0,1.0,-0.0084553631307128,-0.0084553631307128,0.0,-0.0084553631307128,3.2841779735831493,4.0574233497679755
2026-02-02,1.0,1.0,0.0049713175239538,0.0049713175239538,0.00014,0.0048313175239537995,3.312183689432929,4.092022889235651
2026-01-30,1.0,0.3,-0.0029825476770117,-0.00089476430310351,0.00014,-0.00103476430310351,3.2962584183727643,4.071780774119572
2026-01-29,0.3,1.0,-0.0019844193677575,-0.0019844193677575,0.0,-0.0019844193677575,3.2996728020001957,4.083961383657405
2026-01-28,1.0,1.0,-0.000100658996106,-0.000100658996106,0.0,-0.000100658996106,3.306233756300532,4.0920817900159605
2026-01-27,1.0,1.0,0.0039842504921721,0.0039842504921721,0.0,0.0039842504921721,3.3065665919742377,4.09249373632703
2026-01-26,1.0,1.0,0.0050781308114595,0.0050781308114595,0.0,0.0050781308114595,3.293444683373565,4.0762529236099185
2026-01-23,1.0,1.0,0.0003628552455616,0.0003628552455616,0.0,0.0003628552455616,3.2768046407641664,4.05565776296308
2026-01-22,1.0,1.0,0.0052231630101675,0.0052231630101675,0.0,0.0052231630101675,3.2756160662920664,4.054186680059734
2026-01-21,1.0,1.0,0.0115410831591598,0.0115410831591598,0.0,0.0115410831591598,3.258595888780703,4.033121031472618
2026-01-20,1.0,1.0,-0.0203567599707628,-0.0203567599707628,0.0,-0.0203567599707628,3.221417244471901,3.9871055151578365
2026-01-16,1.0,1.0,-0.0008378844014015,-0.0008378844014015,0.0,-0.0008378844014015,3.2883575498114586,4.069956645685466
2026-01-15,1.0,1.0,0.002723224002989,0.002723224002989,0.0,0.002723224002989,3.291115123836938,4.073369658583536
2026-01-14,1.0,1.0,-0.0049152227448391,-0.0049152227448391,0.0,-0.0049152227448391,3.2821770205924015,4.062307086418289
2026-01-13,1.0,1.0,-0.001999473023445,-0.001999473023445,0.0,-0.001999473023445,3.2983893388922594,4.082372858344538
2026-01-12,1.0,1.0,0.0015703975230316,0.0015703975230316,0.0,0.0015703975230316,3.3049975924208557,4.090551806332304
2026-01-09,1.0,1.0,0.0066133884845902,0.0066133884845902,0.0,0.0066133884845902,3.299815570222916,4.084138085998332
2026-01-08,1.0,1.0,-0.000101521683465,-0.000101521683465,0.0,-0.000101521683465,3.2781359834589874,4.057305548207354
2026-01-07,1.0,1.0,-0.0032234001772446,-0.0032234001772446,0.0,-0.0032234001772446,3.2784688191326934,4.057717494518423
2026-01-06,1.0,1.0,0.0059472271123479,0.0059472271123479,0.0,0.0059472271123479,3.2890708105664435,4.070839439087913
2026-01-05,1.0,1.0,0.0066601108169108,0.0066601108169108,0.0,0.0066601108169108,3.2696256045239913,4.046772364762695
2026-01-02,1.0,1.0,0.0018330596423725,0.0018330596423725,0.0,0.0018330596423725,3.2479936071676367,4.019998727752026
2025-12-31,1.0,1.0,-0.0074089558858178,-0.0074089558858178,0.0,-0.0074089558858178,3.2420507348071372,4.012643313235298
2025-12-30,1.0,1.0,-0.0012211468345215,-0.0012211468345215,0.0,-0.0012211468345215,3.266250238737989,4.042594719173898
2025-12-29,1.0,1.0,-0.0035636481890115,-0.0035636481890115,0.0,-0.0035636481890115,3.270243686463828,4.047537356604523
2025-12-26,1.0,1.0,-0.0001014040437492,-0.0001014040437492,0.0,-0.0001014040437492,3.2819393637338434,4.062012941667839
