date,p_structural,p_shock,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,composite_risk_score,shock_high_cut_eff,shock_risk_cut_eff,hard_gate_reason,hard_force_crisis,hard_trend_cap_flag,hard_credit_high_flag,hard_max_allocation,recovery_active,recovery_cap,recovery_days,recovery_floor,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2025-02-21,0.011177052746418661,0.11256559798687575,2,LOW,0.5180744486572583,0.5847106117363935,0.47497750926400645,-0.6451272093337324,0.591649173872005,0.5679430893647853,BEAR,1.5,0.06999456537086796,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.021193195110141505,-0.01600769098400856,0.007391851959501552,0.7613316168169368
2025-02-20,0.006269162032206537,0.024948529365052055,0,LOW,0.23348285090181461,0.257577442049853,0.23037806890853946,0.05487423842029092,0.30314901771042474,0.37584454693069014,NEUTRAL,1.0,0.012806940598702469,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.004160316979602174,0.0010660464705516404,0.006333613542252545,0.7644717925879361
2025-02-19,0.005979408391146517,0.02272245746977655,0,LOW,0.13275524050515847,0.08963779506353745,0.12950614240664798,0.35641305286221103,0.022949221871837316,0.20609581597566448,BULL,0.6,0.007103685341200217,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.015861179396258862,0.006360545925201685,0.7672714047669972
2025-02-18,0.004496450330322146,0.02193179417487068,0,LOW,0.22319176140861316,0.25015104171266844,0.29148729002715595,-0.10642235416940579,0.1607675341374631,0.2929973808782167,BULL,0.6,0.006359292405548479,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0,0.010209553073822653,0.006450596838611068,0.7701559775083086
2025-02-14,0.005054895225269891,0.021744215007978393,0,LOW,0.24124105279937255,0.2775861112394079,0.28557080241342947,-0.09258354370745789,0.24048065104907929,0.3404733717389078,BULL,0.6,0.00653769428953072,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,8.213331928996759e-05,0.014864057840816569,0.006707946595820033,0.777726905376735
2025-02-13,0.005121120016340075,0.023003755505573414,0,LOW,0.19815845071902866,0.2052371253672584,0.237496900049668,0.034174182864988065,0.16190103195105102,0.28336238852247125,BULL,0.6,0.006828025462543045,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,3.281281806410963e-05,0.005624095789184658,0.006996032054310929,0.7818369556213499
2025-02-12,0.005657769168745597,0.022290082199694344,0,LOW,0.18158936263287714,0.17068428006258027,0.2100174007601245,0.11267682508599908,0.14132716760763092,0.25862323945423155,NEUTRAL,1.0,0.011479078729577657,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.010479745680405217,-0.0014233536284121717,0.00669875014464684,0.7856744689964774
2025-02-11,0.005612883841590339,0.023017752915506257,0,LOW,0.15146124166983302,0.11594111003339228,0.18213836169635747,0.2010322118346354,0.06388539243050023,0.21774068600671137,BULL,0.6,0.007022752810476545,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.007281609934587041,0.005866009928040983,0.007648046582632913,0.7887321104559446
2025-02-10,0.006471246167745758,0.024489100930103213,0,LOW,0.2789251989730157,0.3351181353245818,0.28708879894867345,-0.09490980754608601,0.3976297973043905,0.40999577209019133,BULL,0.6,0.00766649720074252,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.008036102201800843,0.011843984848228128,0.007644133191062525,0.7916674809452875
2025-02-07,0.007835315317819834,0.026300238959578687,2,LOW,0.2361085799281436,0.16318757591562236,0.1610306554431845,0.24871816391790696,0.20440655990864637,0.28731308831065855,NEUTRAL,1.0,0.014298038592435433,0.4,0.2,NONE,0,0,0,1.0,0,1.0,0,0.0,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.014727283959494408,-0.001744653810426322,0.007560895703694705,0.7943840795641072
