case_month,rows,struct_mean,shock_mean,early_mean,early_warn_days,recovery_active_days,tactical_active_days,hardgate_days,guardrail_days,non_full_risk_on_days,min_alloc,max_alloc
2025-03,21,0.3324171268154541,0.04527633600464529,0.7467470921310198,21,0,21,11,0,21,0.315,0.9
2025-11,19,0.013220580682978527,0.048030728178498794,0.5086794521172631,0,0,10,0,0,10,0.8,1.0
